id,code,section,weight,critical,standard,evidence
27,02.12,02. Управление сменой и лидерство,0.8,ДА,Одинаковые нарушения получают одинаковую управленческую реакцию независимо от личности.,Сравнить 2–3 сходных кейса.
28,02.13,02. Управление сменой и лидерство,0.8,НЕТ,"Пределы делегирования менеджера понятны: что он решает сам, что эскалирует.","Кейсы скидок, конфликтов, возвратов, staffing."
29,02.14,02. Управление сменой и лидерство,0.8,ДА,Передача смены между менеджерами документирована.,"Pending issues, VIP, maintenance, people issues, cash/ops."
30,02.15,02. Управление сменой и лидерство,0.8,НЕТ,"После смены фиксируются ключевые инциденты, победы и задачи на следующий день.",Проверить logbook за последние 7 дней.
31,03.01,"03. Команда, найм и культура",0.6667,НЕТ,"Для ключевых ролей есть профиль: результат роли, компетенции и поведенческие ожидания.",Официант/хостес/бар/менеджер: 1 страница на роль.
32,03.02,"03. Команда, найм и культура",0.6667,НЕТ,"При найме оцениваются и техника, и hospitality-поведение кандидата.",Есть отдельные вопросы/критерии на оба блока.
33,03.03,"03. Команда, найм и культура",0.6667,НЕТ,"Собеседование проводится по повторяемой структуре, а не 'по ощущениям'.",Есть scorecard интервью и одинаковые обязательные вопросы.
34,03.04,"03. Команда, найм и культура",0.6667,НЕТ,Перед оффером проверяется соответствие опыта/мотивации реальным требованиям роли.,Есть критерии допуска; причины отказов фиксируются.
35,03.05,"03. Команда, найм и культура",0.6667,НЕТ,"Кандидат заранее понимает реальные условия смены, нагрузки и стандарты.",Realistic job preview до выхода; минимум сюрпризов после найма.
36,03.06,"03. Команда, найм и культура",0.6667,НЕТ,Ценности переведены в 4–6 конкретных моделей поведения.,Можно наблюдать и дать обратную связь; нет лозунгов без поведения.
37,03.07,"03. Команда, найм и культура",0.6667,ДА,Сотрудник может безопасно сообщить об ошибке/проблеме без страха автоматического наказания.,"Анонимно спросить: 'что будет, если признаться в ошибке?'."
38,03.08,"03. Команда, найм и культура",0.6667,ДА,"В команде нет системного фаворитизма: правила смен, дисциплины и развития применяются последовательно.",Сравнить решения по 3 сотрудникам; анонимные интервью.
39,03.09,"03. Команда, найм и культура",0.6667,НЕТ,"Есть регулярное признание правильного поведения, а не только разбор ошибок.",Примеры за последние 2 недели; recognition встроен в pre-shift/1:1.
40,03.10,"03. Команда, найм и культура",0.6667,НЕТ,Понятен путь роста для сильного линейного сотрудника.,Сотрудник может назвать следующий шаг и критерии.
41,03.11,"03. Команда, найм и культура",0.6667,НЕТ,Exit interview проводится для добровольных увольнений.,Есть форма и база причин минимум за 3 месяца.
42,03.12,"03. Команда, найм и культура",0.6667,НЕТ,"Причины увольнений классифицируются и считаются, а не остаются историями.",Категории + частота + повторяемость по менеджерам/сменам.
43,03.13,"03. Команда, найм и культура",0.6667,НЕТ,"Опоздания, неявки и замены фиксируются и анализируются.",Есть единый журнал/система и тренд.
44,03.14,"03. Команда, найм и культура",0.6667,НЕТ,Есть план покрытия критических смен и резерв по ключевым ролям.,Проверить сценарий: заболели 2 сотрудника перед пятницей.
45,03.15,"03. Команда, найм и культура",0.6667,ДА,Для межличностных конфликтов есть понятный путь разрешения и срок реакции.,"Команда знает, к кому идти; затяжные конфликты не игнорируются."
46,04.01,04. Онбординг и обучение,0.6667,НЕТ,Первый день новичка имеет фиксированную программу.,"Знакомство, концепция, команда, безопасность, правила, маршрут обучения."
47,04.02,04. Онбординг и обучение,0.6667,НЕТ,За новичком закреплён наставник/mentor на период адаптации.,ФИО наставника + обязанности + контроль прогресса.
48,04.03,04. Онбординг и обучение,0.6667,НЕТ,Есть план адаптации 7/14/30 дней с понятными этапами допуска.,Проверить текущего новичка по плану.
49,04.04,04. Онбординг и обучение,0.6667,НЕТ,"Знание меню подтверждается аттестацией, а не только стажировкой.",Тест/устный экзамен + проходной балл.
50,04.05,04. Онбординг и обучение,0.6667,НЕТ,Сервисный цикл отрабатывается и проверяется отдельно.,Role play + наблюдение реальной смены.
